Corre;Año; Tipo de Carne;Mes;Departamento;Municipio;Clase;Sexo (subclase);Número de Cabezas;Peso total en libras;Peso total del número de cabezas (quintales);Peso vivo promedio (Peso de cada cabeza);Carne y Hueso;Sebo;Total;Vísceras;Cuero;Sangre;Desperdicio;;;
112;2023;1;1;9;24;1;1;60;45,000;450;7.50;225;20;245;56;36;22;5;;;
113;2023;1;1;9;24;2;1;32;9,600;96;3.00;56;26;81;8;0;3;4;;;
114;2023;1;1;9;24;2;2;27;8,100;81;3.00;47;22;69;6;0;2;4;;;
115;2023;1;1;10;2;1;1;19;13,870;139;7.30;69;6;75;17;11;7;1;;;
116;2023;1;1;10;2;1;5;8;4,952;50;6.19;25;2;27;7;4;2;0;;;
117;2023;1;1;10;2;2;1;43;7,095;71;1.65;41;19;60;6;0;2;3;;;
118;2023;1;1;10;2;2;2;29;4,785;48;1.65;28;13;41;4;0;1;2;;;
119;2023;1;1;10;3;1;1;15;10,950;110;7.30;55;5;60;14;9;5;1;;;
120;2023;1;1;10;3;1;2;1;637;6;6.37;3;0;3;1;0;0;0;;;
121;2023;1;1;10;3;1;5;115;71,185;712;6.19;355;32;387;100;56;36;7;;;
122;2023;1;1;10;3;1;6;14;7,161;72;5.12;36;3;39;10;6;4;1;;;
123;2023;1;1;10;4;1;1;2;1,460;15;7.30;7;1;8;2;1;1;0;;;
124;2023;1;1;10;5;1;2;8;5,092;51;6.37;25;2;27;7;4;3;0;;;
125;2023;1;1;10;5;1;5;2;1,238;12;6.19;6;1;7;2;1;1;0;;;
126;2023;1;1;10;5;1;6;4;2,046;20;5.12;10;1;11;3;2;1;0;;;
127;2023;1;1;10;5;2;1;18;2,970;30;1.65;17;8;25;2;0;1;1;;;
128;2023;1;1;10;5;2;2;22;3,630;36;1.65;21;10;31;3;0;1;2;;;
129;2023;1;1;10;7;1;1;8;5,840;58;7.30;29;3;32;7;5;3;1;;;
130;2023;1;1;10;7;1;2;8;5,092;51;6.37;25;2;27;7;4;3;0;;;
131;2023;1;1;10;7;1;5;4;2,476;25;6.19;12;1;13;3;2;1;0;;;
132;2023;1;1;10;7;1;6;4;2,046;20;5.12;10;1;11;3;2;1;0;;;
133;2023;1;1;10;7;2;1;4;660;7;1.65;4;2;6;1;0;0;0;;;
134;2023;1;1;10;7;2;2;1;165;2;1.65;1;0;1;0;0;0;0;;;
135;2023;1;1;10;8;1;1;48;35,040;350;7.30;175;16;190;44;28;18;4;;;
136;2023;1;1;10;8;1;5;44;27,236;272;6.19;136;12;148;38;22;14;3;;;
137;2023;1;1;10;10;1;1;45;32,850;329;7.30;164;15;179;41;26;16;3;;;
138;2023;1;1;10;10;1;2;32;20,368;204;6.37;100;9;109;26;15;10;1;;;
139;2023;1;1;10;10;1;5;38;23,522;235;6.19;117;10;128;33;19;12;2;;;
140;2023;1;1;10;10;1;6;54;27,621;276;5.12;138;12;150;39;22;14;3;;;
141;2023;1;1;10;10;2;1;90;14,850;149;1.65;86;40;126;12;0;4;7;;;
142;2023;1;1;10;10;2;2;114;18,810;188;1.65;109;50;160;15;0;5;8;;;
143;2023;1;1;10;11;1;1;25;18,250;183;7.30;91;8;99;23;14;9;2;;;
144;2023;1;1;10;11;1;5;2;1,238;12;6.19;6;1;7;2;1;1;0;;;
145;2023;1;1;10;11;1;6;14;7,161;72;5.12;36;3;39;10;6;4;1;;;
146;2023;1;1;10;12;1;2;6;3,819;38;6.37;19;2;20;5;3;2;0;;;
147;2023;1;1;10;12;1;7;2;750;8;3.75;4;0;4;1;1;0;0;;;
148;2023;1;1;10;12;2;1;6;990;10;1.65;6;3;8;1;0;0;0;;;
149;2023;1;1;10;12;2;2;2;330;3;1.65;2;1;3;0;0;0;0;;;
150;2023;1;1;10;13;1;1;64;46,720;467;7.30;233;21;254;58;37;23;5;;;
151;2023;1;1;10;13;1;2;5;3,183;32;6.37;16;1;17;4;2;2;0;;;
152;2023;1;1;10;13;1;5;18;11,142;111;6.19;56;5;61;16;9;6;1;;;
153;2023;1;1;10;13;1;6;27;13,811;138;5.12;69;6;75;19;11;7;1;;;
154;2023;1;1;10;13;2;1;173;28,545;285;1.65;166;76;242;23;0;8;13;;;
155;2023;1;1;10;13;2;2;195;32,175;322;1.65;187;86;273;25;0;9;14;;;
156;2023;1;1;10;14;1;1;76;55,480;555;7.30;277;25;302;69;44;28;6;;;
157;2023;1;1;10;14;1;2;40;25,460;255;6.37;125;11;137;33;18;13;1;;;
158;2023;1;1;10;14;1;5;42;25,998;260;6.19;130;12;141;36;21;13;3;;;
159;2023;1;1;10;14;1;6;13;6,650;66;5.12;33;3;36;9;5;3;1;;;
160;2023;1;1;10;14;2;1;396;65,340;653;1.65;379;175;554;52;0;18;29;;;
161;2023;1;1;10;14;2;2;101;16,665;167;1.65;97;45;141;13;0;5;7;;;
162;2023;1;1;10;15;1;1;5;3,650;37;7.30;18;2;20;5;3;2;0;;;
163;2023;1;1;10;15;1;2;10;6,365;64;6.37;31;3;34;8;5;3;0;;;
164;2023;1;1;10;15;1;5;5;3,095;31;6.19;15;1;17;4;2;2;0;;;
165;2023;1;1;10;15;1;6;4;2,046;20;5.12;10;1;11;3;2;1;0;;;
166;2023;1;1;10;15;2;1;20;3,300;33;1.65;19;9;28;3;0;1;1;;;
167;2023;1;1;10;15;2;2;5;825;8;1.65;5;2;7;1;0;0;0;;;
168;2023;1;1;10;16;2;1;9;1,485;15;1.65;9;4;13;1;0;0;1;;;
169;2023;1;1;10;16;2;2;10;1,650;17;1.65;10;4;14;1;0;0;1;;;
170;2023;1;1;10;17;1;1;174;127,020;1,270;7.30;634;57;690;158;101;64;13;;;
171;2023;1;1;10;17;1;5;4;2,476;25;6.19;12;1;13;3;2;1;0;;;
172;2023;1;1;10;17;1;6;42;21,483;215;5.12;107;10;117;30;17;11;2;;;
173;2023;1;1;10;18;1;1;18;13,140;131;7.30;66;6;71;16;10;7;1;;;
174;2023;1;1;10;18;1;2;7;4,456;45;6.37;22;2;24;6;3;2;0;;;
175;2023;1;1;10;18;1;5;30;18,570;186;6.19;93;8;101;26;15;9;2;;;
176;2023;1;1;10;20;1;1;12;8,760;88;7.30;44;4;48;11;7;4;1;;;
177;2023;1;1;10;20;1;2;3;1,910;19;6.37;9;1;10;2;1;1;0;;;
178;2023;1;1;10;20;1;5;40;24,760;248;6.19;124;11;135;35;20;12;2;;;
179;2023;1;1;10;20;1;6;10;5,115;51;5.12;26;2;28;7;4;3;1;;;
180;2023;1;1;10;20;2;1;60;9,900;99;1.65;57;27;84;8;0;3;4;;;
